cap.4383535	cap.4386223	cap.4388092	cap.4391097	cap.4391244	cap.4395785	pcp.4311574	pcp.4378760	pcp.4383785	pcp.4385354	pcp.4386363	pcp.4388658
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales	0	0	0	0	0.0277708705451427	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae	0	0	0	0	0.0277708705451427	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela	0	0	0	0	0.0277708705451427	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela|s__Candidatus_Babela_massiliensis	0	0	0	0	0.0277708705451427	0	0	0	0	0.0303768275838605	0	0
k__Bacteria|p__Candidatus_Bipolaricaulota	0	0	0	0.0569929331612527	0	0	0	0	0	0	0	0.0996344610891561
k__Bacteria|p__Candidatus_Bipolaricaulota|g__Candidatus_Bipolaricaulis	0	0	0	0.0569929331612527	0	0	0	0	0	0	0	0.0996344610891561
k__Bacteria|p__Candidatus_Bipolaricaulota|g__Candidatus_Bipolaricaulis|s__Candidatus_Bipolaricaulis_anaerobius	0	0	0	0.0569929331612527	0	0	0	0	0	0	0	0.0996344610891561
k__Bacteria|p__Elusimicrobia	0	0	0.0611636432050679	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	0	0	0	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	0	0	0	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	0	0	0	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium	0	0	0	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_minutum	0	0	0	0	0	0	0	0	0	0.121507310335442	0	0
k__Bacteria|p__Elusimicrobia|c__Endomicrobia	0	0	0.0611636432050679	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales	0	0	0.0611636432050679	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae	0	0	0.0611636432050679	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium	0	0	0.0611636432050679	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium_proavitum	0	0	0.0611636432050679	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Dictyoglomi	0	0	0.0611636432050679	0	0.0277708705451427	0	0	0	0	0.212637793087024	0	0
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia	0	0	0.0611636432050679	0	0.0277708705451427	0	0	0	0	0.212637793087024	0	0
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	0	0	0.0611636432050679	0	0.0277708705451427	0	0	0	0	0.212637793087024	0	0
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae	0	0	0.0611636432050679	0	0.0277708705451427	0	0	0	0	0.212637793087024	0	0
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus	0	0	0.0611636432050679	0	0.0277708705451427	0	0	0	0	0.212637793087024	0	0
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_thermophilum	0	0	0	0	0.0277708705451427	0	0	0	0	0.151884137919303	0	0
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_turgidum	0	0	0.0611636432050679	0	0	0	0	0	0	0.0607536551677211	0	0
k__Bacteria|p__Acidobacteria	0	0	0.122327286410136	0.113985866322505	0.138854352725714	0.0830944506368275	0.507115886339682	0.0539315274541137	0.0722065140962279	0.425275586174048	1.31087206937301	0.0996344610891561
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	0	0	0	0	0	0	0	0	0	0	0.137986533618211	0
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae	0	0	0	0	0	0	0	0	0	0	0.137986533618211	0
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae|g__Luteitalea	0	0	0	0	0	0	0	0	0	0	0.137986533618211	0
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae|g__Luteitalea|s__Luteitalea_pratensis	0	0	0	0	0	0	0	0	0	0	0.137986533618211	0
k__Bacteria|p__Acidobacteria|c__Blastocatellia	0	0	0	0.0569929331612527	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Acidobacteria|c__Blastocatellia|g__Chloracidobacterium	0	0	0	0.0569929331612527	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Acidobacteria|c__Blastocatellia|g__Chloracidobacterium|s__Chloracidobacterium_thermophilum	0	0	0	0.0569929331612527	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0	0	0.122327286410136	0.0569929331612527	0.111083482180571	0.0830944506368275	0.507115886339682	0.0539315274541137	0.0722065140962279	0.334145103422466	1.17288553575479	0.0996344610891561
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0	0	0	0	0.0555417410902855	0.0830944506368275	0.434670759719727	0.0539315274541137	0.0722065140962279	0.273391448254745	0.965905735327478	0.0498172305445781
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0	0	0	0	0.0555417410902855	0.0830944506368275	0.434670759719727	0.0539315274541137	0.0722065140962279	0.273391448254745	0.965905735327478	0.0498172305445781
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidisarcina	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidisarcina|s__Acidisarcina_polymorpha	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus	0	0	0	0	0	0	0.0724451266199545	0.0539315274541137	0.0722065140962279	0.0303768275838605	0.275973067236422	0.0498172305445781
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_albidus	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_saanensis	0	0	0	0	0	0	0	0.0539315274541137	0.0361032570481139	0	0	0.0498172305445781
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_roseus	0	0	0	0	0	0	0.0724451266199545	0	0.0361032570481139	0.0303768275838605	0.206979800427317	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacterium	0	0	0	0	0	0	0.0724451266199545	0	0	0	0.0689932668091056	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacterium|s__Acidobacterium_capsulatum	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacterium|s__Acidobacterium_sp._4Y35	0	0	0	0	0	0	0.0724451266199545	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter	0	0	0	0	0	0.0830944506368275	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter|s__Edaphobacter_sp._4G125	0	0	0	0	0	0.0830944506368275	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0	0	0	0	0.0277708705451427	0	0.0724451266199545	0	0	0.182260965503163	0.137986533618211	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_sp._WH15	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_mallensis	0	0	0	0	0	0	0	0	0	0.0911304827515816	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_sp._5B5	0	0	0	0	0	0	0.0724451266199545	0	0	0	0.0689932668091056	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_tundricola	0	0	0	0	0.0277708705451427	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Candidatus_Koribacter	0	0	0	0	0.0277708705451427	0	0.144890253239909	0	0	0.0303768275838605	0.206979800427317	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Candidatus_Koribacter|s__Candidatus_Koribacter_versatilis	0	0	0	0	0.0277708705451427	0	0.144890253239909	0	0	0.0303768275838605	0.206979800427317	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	0	0	0.122327286410136	0.0569929331612527	0.0555417410902855	0	0.0724451266199545	0	0	0.0607536551677211	0.206979800427317	0.0498172305445781
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Bryobacteraceae	0	0	0	0.0569929331612527	0	0	0.0724451266199545	0	0	0.0607536551677211	0.0689932668091056	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Bryobacteraceae|g__Paludibaculum	0	0	0	0.0569929331612527	0	0	0.0724451266199545	0	0	0.0607536551677211	0.0689932668091056	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Bryobacteraceae|g__Paludibaculum|s__Paludibaculum_fermentans	0	0	0	0.0569929331612527	0	0	0.0724451266199545	0	0	0.0607536551677211	0.0689932668091056	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae	0	0	0.122327286410136	0	0.0555417410902855	0	0	0	0	0	0.137986533618211	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae|g__Candidatus_Solibacter	0	0	0.122327286410136	0	0.0555417410902855	0	0	0	0	0	0.137986533618211	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae|g__Candidatus_Solibacter|s__Candidatus_Solibacter_usitatus	0	0	0.122327286410136	0	0.0555417410902855	0	0	0	0	0	0.137986533618211	0
k__Bacteria|p__Aquificae	0	0	0.183490929615204	0	0.0555417410902855	0	0	0.269657637270569	0.144413028192456	0.394898758590187	0.206979800427317	0
k__Bacteria|p__Aquificae|c__Aquificae	0	0	0.183490929615204	0	0.0555417410902855	0	0	0.269657637270569	0.144413028192456	0.394898758590187	0.206979800427317	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales	0	0	0	0	0	0	0	0.0539315274541137	0	0.0911304827515816	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae	0	0	0	0	0	0	0	0.0539315274541137	0	0.0911304827515816	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium	0	0	0	0	0	0	0	0.0539315274541137	0	0.0911304827515816	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium|s__Desulfurobacterium_thermolithotrophum	0	0	0	0	0	0	0	0.0539315274541137	0	0.0911304827515816	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	0	0	0.183490929615204	0	0.0555417410902855	0	0	0.215726109816455	0.144413028192456	0.303768275838605	0.206979800427317	0
